姓名,手机号,假别,请假开始时间,请假结束时间,请假天数,请假小时数
郑砚平2,13738786456,事假,2015-06-05 09:00:00,2015-06-05 15:00:00,0,5
符强,139858625393,病假,2015-06-07 09:00:00,2015-06-08 10:00:00,1,1
曹燕,13764912768,产假33,2015-04-08 09:00:00,2015-06-08 12:00:00,60,3
颉国起,18685175201,婚假,2015-06-03 10:00:00,2015-06-04 12:00:00,1,2
高小玲,15685086688,年休假,2015-06-09 10:00:00,2015-06-09 18:00:00,0,7
王欣,18985239220,年休假,2015-06-11 12:00:00,2015-06-12 14:00:00,1,1
高虹,13984720367,丧假,2015-06-07 09:00:00,2015-06-07 14:00:00,0,4
申刚,13520907278,公假,2015-06-13 17:00:00,2015-06-14 18:00:00,1,1
张义生,13518089580,事假,2015-06-15 13:00:00,2015-06-15 16:00:00,0,3
萧洪志,13876548880,病假,2015-06-06 17:00:00,2015-06-07 18:00:00,1,1
叶标,13876401112,丧假,2015-06-14 09:00:00,2015-06-15 18:00:00,2,0
王照听,13976616315,婚假,2015-06-05 09:00:00,2015-06-20 18:00:00,15,0
侯新宇,13389899891,年休假,2015-06-05 09:00:00,2015-06-05 11:00:00,0,2
陈昆鹏,13518075379,年休假,2015-06-16 09:00:00,2015-06-16 18:00:00,1,0
陆爱君,13518898951,产假,2015-06-05 09:00:00,2015-09-05 18:00:00,90,0
刘广义,13907593664,公假,2015-06-15 09:00:00,2015-06-15 12:00:00,0,3
李亚新,13733274134,事假,2015-06-18 16:00:00,2015-06-18 18:00:00,0,2
段卫军,15128107621,病假,2015-06-14 09:00:00,2015-06-16 12:00:00,2,3
吴强,13582238962,事假,2015-06-17 14:00:00,2015-06-17 18:00:00,0,4
茹少玉,13503328394,婚假,2015-06-16 09:00:00,2015-07-01 12:00:00,15,3
